b' -3.68  Get AngleZ: 0.72\r\n'
b'Get AngleX: 71.64  Get AngleY: 114.60  Get AngleZ: 88.72\r\n'
b'Get AngleX: 78.14  Get AngleY: 113.76  Get AngleZ: 88.50\r\n'
b'Get AngleX: 84.67  Get AngleY: 112.41  Get AngleZ: 88.42\r\n'
b'Get AngleX: 87.26  Get AngleY: 112.07  Get AngleZ: 88.60\r\n'
b'Get AngleX: 88.81  Get AngleY: 111.74  Get AngleZ: 88.61\r\n'
b'Get AngleX: 89.51  Get AngleY: 111.64  Get AngleZ: 88.62\r\n'
b'Get AngleX: 93.82  Get AngleY: 110.49  Get AngleZ: 88.55\r\n'
b'Get AngleX: 98.42  Get AngleY: 108.39  Get AngleZ: 87.97\r\n'
b'Get AngleX: 98.90  Get AngleY: 108.25  Get AngleZ: 87.93\r\n'
b'Get AngleX: 101.32  Get AngleY: 107.53  Get AngleZ: 87.90\r\n'
b'Get AngleX: 103.21  Get AngleY: 106.96  Get AngleZ: 87.89\r\n'
b'Get AngleX: 103.66  Get AngleY: 106.79  Get AngleZ: 87.91\r\n'
b'Get AngleX: 104.37  Get AngleY: 106.45  Get AngleZ: 87.94\r\n'
b'Get AngleX: 107.08  Get AngleY: 105.49  Get AngleZ: 87.92\r\n'
b'Get AngleX: 108.17  Get AngleY: 105.28  Get AngleZ: 87.88\r\n'
b'Get AngleX: 109.18  Get AngleY: 104.90  Get AngleZ: 87.79\r\n'
b'Get AngleX: 110.32  Get AngleY: 104.64  Get AngleZ: 87.76\r\n'
b'Get AngleX: 112.74  Get AngleY: 104.16  Get AngleZ: 87.83\r\n'
b'Get AngleX: 113.49  Get AngleY: 103.71  Get AngleZ: 87.81\r\n'
b'Get AngleX: 115.66  Get AngleY: 103.51  Get AngleZ: 87.62\r\n'
b'Get AngleX: 116.05  Get AngleY: 103.52  Get AngleZ: 87.62\r\n'
b'Get AngleX: 116.63  Get AngleY: 103.48  Get AngleZ: 87.64\r\n'
b'Get AngleX: 116.77  Get AngleY: 103.11  Get AngleZ: 87.62\r\n'
b'Get AngleX: 117.82  Get AngleY: 102.79  Get AngleZ: 87.66\r\n'
b'Get AngleX: 117.92  Get AngleY: 102.78  Get AngleZ: 87.66\r\n'
b'Get AngleX: 118.64  Get AngleY: 102.54  Get AngleZ: 87.61\r\n'
b'Get AngleX: 118.76  Get AngleY: 102.48  Get AngleZ: 87.62\r\n'
b'Get AngleX: 118.99  Get AngleY: 102.43  Get AngleZ: 87.51\r\n'
b'Get AngleX: 119.62  Get AngleY: 102.11  Get AngleZ: 87.29\r\n'
b'Get AngleX: 119.79  Get AngleY: 102.12  Get AngleZ: 87.26\r\n'
b'Get AngleX: 120.09  Get AngleY: 102.04  Get AngleZ: 86.85\r\n'
b'Get AngleX: 120.38  Get AngleY: 102.05  Get AngleZ: 86.65\r\n'
b'Get AngleX: 120.70  Get AngleY: 102.25  Get AngleZ: 86.74\r\n'
b'Get AngleX: 120.99  Get AngleY: 102.49  Get AngleZ: 86.78\r\n'
b'Get AngleX: 121.16  Get AngleY: 102.45  Get AngleZ: 86.81\r\n'
b'Get AngleX: 121.24  Get AngleY: 102.49  Get AngleZ: 86.79\r\n'
b'Get AngleX: 121.56  Get AngleY: 102.71  Get AngleZ: 86.69\r\n'
b'Get AngleX: 121.73  Get AngleY: 102.57  Get AngleZ: 86.67\r\n'
b'Get AngleX: 121.87  Get AngleY: 102.61  Get AngleZ: 86.69\r\n'
b'Get AngleX: 121.99  Get AngleY: 102.41  Get AngleZ: 86.77\r\n'
b'Get AngleX: 122.10  Get AngleY: 102.41  Get AngleZ: 86.93\r\n'
b'Get AngleX: 122.57  Get AngleY: 102.30  Get AngleZ: 86.95\r\n'
b'Get AngleX: 122.83  Get AngleY: 102.30  Get AngleZ: 87.04\r\n'
b'Get AngleX: 122.99  Get AngleY: 101.90  Get AngleZ: 87.06\r\n'
b'Get AngleX: 123.17  Get AngleY: 102.04  Get AngleZ: 87.09\r\n'
b'Get AngleX: 123.22  Get AngleY: 101.93  Get AngleZ: 87.07\r\n'
b'Get AngleX: 123.39  Get AngleY: 102.01  Get AngleZ: 86.92\r\n'
b'Get AngleX: 123.35  Get AngleY: 102.19  Get AngleZ: 86.85\r\n'
b'Get AngleX: 123.32  Get AngleY: 102.10  Get AngleZ: 86.84\r\n'
b'Get AngleX: 123.39  Get AngleY: 102.04  Get AngleZ: 86.76\r\n'
b'Get AngleX: 123.75  Get AngleY: 102.18  Get AngleZ: 86.81\r\n'
b'Get AngleX: 123.74  Get AngleY: 102.19  Get AngleZ: 86.83\r\n'
b'Get AngleX: 124.22  Get AngleY: 102.50  Get AngleZ: 86.99\r\n'
b'Get AngleX: 124.24  Get AngleY: 102.51  Get AngleZ: 86.98\r\n'
b'Get AngleX: 124.20  Get AngleY: 102.67  Get AngleZ: 86.89\r\n'
b'Get AngleX: 124.16  Get AngleY: 102.68  Get AngleZ: 86.93\r\n'
b'Get AngleX: 124.17  Get AngleY: 102.72  Get AngleZ: 86.94\r\n'
b'Get AngleX: 124.36  Get AngleY: 102.97  Get AngleZ: 86.98\r\n'
b'Get AngleX: 124.36  Get AngleY: 102.93  Get AngleZ: 86.96\r\n'
b'Get AngleX: 124.35  Get AngleY: 102.98  Get AngleZ: 86.93\r\n'
b'Get AngleX: 124.36  Get AngleY: 103.19  Get AngleZ: 86.75\r\n'
b'Get AngleX: 124.34  Get AngleY: 103.21  Get AngleZ: 86.70\r\n'
b'Get AngleX: 124.33  Get AngleY: 103.44  Get AngleZ: 86.67\r\n'
b'Get AngleX: 124.42  Get AngleY: 103.35  Get AngleZ: 86.68\r\n'
b'Get AngleX: 124.38  Get AngleY: 103.23  Get AngleZ: 86.69\r\n'
b'Get AngleX: 124.44  Get AngleY: 103.27  Get AngleZ: 86.75\r\n'
b'Get AngleX: 124.59  Get AngleY: 103.28  Get AngleZ: 86.76\r\n'
b'Get AngleX: 124.65  Get AngleY: 103.24  Get AngleZ: 86.81\r\n'
b'Get AngleX: 124.70  Get AngleY: 103.22  Get AngleZ: 87.01\r\n'
b'Get AngleX: 124.83  Get AngleY: 103.07  Get AngleZ: 87.05\r\n'
b'Get AngleX: 124.85  Get AngleY: 102.96  Get AngleZ: 87.03\r\n'
