b'Get AngleX: 35.14  Get AngleY: 78.48  Get AngleZ: -76.91\r\n'
b'Get AngleX: 34.22  Get AngleY: 79.30  Get AngleZ: -77.24\r\n'
b'Get AngleX: 32.99  Get AngleY: 79.44  Get AngleZ: -77.35\r\n'
b'Get AngleX: 32.43  Get AngleY: 79.15  Get AngleZ: -77.39\r\n'
b'Get AngleX: 30.21  Get AngleY: 78.93  Get AngleZ: -77.85\r\n'
b'Get AngleX: 27.08  Get AngleY: 78.46  Get AngleZ: -79.76\r\n'
b'Get AngleX: 27.02  Get AngleY: 77.87  Get AngleZ: -80.19\r\n'
b'Get AngleX: 27.37  Get AngleY: 74.44  Get AngleZ: -81.52\r\n'
b'Get AngleX: 31.85  Get AngleY: 73.26  Get AngleZ: -81.68\r\n'
b'Get AngleX: 31.88  Get AngleY: 72.80  Get AngleZ: -81.75\r\n'
b'Get AngleX: 33.56  Get AngleY: 73.87  Get AngleZ: -82.14\r\n'
b'Get AngleX: 34.20  Get AngleY: 76.96  Get AngleZ: -80.64\r\n'
b'Get AngleX: 31.25  Get AngleY: 78.59  Get AngleZ: -80.47\r\n'
b'Get AngleX: 34.81  Get AngleY: 75.70  Get AngleZ: -79.39\r\n'
b'Get AngleX: 33.97  Get AngleY: 75.88  Get AngleZ: -79.65\r\n'
b'Get AngleX: 31.00  Get AngleY: 76.36  Get AngleZ: -80.83\r\n'
b'Get AngleX: 29.63  Get AngleY: 78.73  Get AngleZ: -82.37\r\n'
b'Get AngleX: 30.47  Get AngleY: 77.26  Get AngleZ: -81.97\r\n'
b'Get AngleX: 30.63  Get AngleY: 78.09  Get AngleZ: -81.78\r\n'
b'Get AngleX: 30.85  Get AngleY: 78.57  Get AngleZ: -81.52\r\n'
b'Get AngleX: 28.57  Get AngleY: 80.35  Get AngleZ: -80.80\r\n'
b'Get AngleX: 23.95  Get AngleY: 83.01  Get AngleZ: -81.67\r\n'
b'Get AngleX: 23.65  Get AngleY: 83.83  Get AngleZ: -82.80\r\n'
b'Get AngleX: 22.68  Get AngleY: 79.72  Get AngleZ: -83.83\r\n'
b'Get AngleX: 21.61  Get AngleY: 80.33  Get AngleZ: -84.59\r\n'
b'Get AngleX: 24.17  Get AngleY: 79.36  Get AngleZ: -85.14\r\n'
b'Get AngleX: 24.54  Get AngleY: 78.82  Get AngleZ: -84.97\r\n'
b'Get AngleX: 24.34  Get AngleY: 85.13  Get AngleZ: -83.41\r\n'
b'Get AngleX: 27.07  Get AngleY: 83.51  Get AngleZ: -85.30\r\n'
b'Get AngleX: 29.90  Get AngleY: 79.96  Get AngleZ: -84.74\r\n'
b'Get AngleX: 31.16  Get AngleY: 78.85  Get AngleZ: -85.27\r\n'
b'Get AngleX: 27.57  Get AngleY: 81.11  Get AngleZ: -85.07\r\n'
b'Get AngleX: 26.07  Get AngleY: 85.26  Get AngleZ: -83.81\r\n'
b'Get AngleX: 26.79  Get AngleY: 84.50  Get AngleZ: -83.23\r\n'
b'Get AngleX: 27.73  Get AngleY: 83.31  Get AngleZ: -82.94\r\n'
b'Get AngleX: 27.43  Get AngleY: 79.65  Get AngleZ: -85.39\r\n'
b'Get AngleX: 28.91  Get AngleY: 78.46  Get AngleZ: -84.10\r\n'
b'Get AngleX: 30.40  Get AngleY: 78.73  Get AngleZ: -82.65\r\n'
b'Get AngleX: 29.81  Get AngleY: 78.53  Get AngleZ: -81.23\r\n'
b'Get AngleX: 29.05  Get AngleY: 80.04  Get AngleZ: -80.11\r\n'
b'Get AngleX: 27.21  Get AngleY: 80.43  Get AngleZ: -79.79\r\n'
b'Get AngleX: 27.00  Get AngleY: 80.97  Get AngleZ: -80.49\r\n'
b'Get AngleX: 24.77  Get AngleY: 78.30  Get AngleZ: -81.29\r\n'
b'Get AngleX: 23.81  Get AngleY: 79.90  Get AngleZ: -81.65\r\n'
b'Get AngleX: 22.95  Get AngleY: 79.78  Get AngleZ: -81.71\r\n'
b'Get AngleX: 23.18  Get AngleY: 79.31  Get AngleZ: -81.59\r\n'
b'Get AngleX: 23.51  Get AngleY: 79.34  Get AngleZ: -81.57\r\n'
b'Get AngleX: 23.86  Get AngleY: 79.22  Get AngleZ: -81.84\r\n'
b'Get AngleX: 22.23  Get AngleY: 76.95  Get AngleZ: -82.46\r\n'
b'Get AngleX: 21.60  Get AngleY: 76.28  Get AngleZ: -83.01\r\n'
b'Get AngleX: 21.65  Get AngleY: 75.27  Get AngleZ: -85.42\r\n'
b'Get AngleX: 25.36  Get AngleY: 60.14  Get AngleZ: -80.98\r\n'
b'Get AngleX: 23.85  Get AngleY: 58.08  Get AngleZ: -81.96\r\n'
b'Get AngleX: 22.82  Get AngleY: 56.71  Get AngleZ: -83.90\r\n'
b'Get AngleX: 13.13  Get AngleY: 58.65  Get AngleZ: -86.93\r\n'
b'Get AngleX: 0.77  Get AngleY: 62.64  Get AngleZ: -91.96\r\n'
b'Get AngleX: -11.15  Get AngleY: 65.02  Get AngleZ: -97.36\r\n'
b'Get AngleX: -9.43  Get AngleY: 67.87  Get AngleZ: -97.48\r\n'
b'Get AngleX: 6.59  Get AngleY: 62.98  Get AngleZ: -104.72\r\n'
b'Get AngleX: 8.93  Get AngleY: 48.44  Get AngleZ: -111.92\r\n'
b'Get AngleX: 42.01  Get AngleY: 43.11  Get AngleZ: -113.23\r\n'
b'Get AngleX: 49.76  Get AngleY: 34.13  Get AngleZ: -116.61\r\n'
b'Get AngleX: 48.95  Get AngleY: 33.28  Get AngleZ: -117.51\r\n'
b'Get AngleX: 47.19  Get AngleY: 31.79  Get AngleZ: -118.18\r\n'
b'Get AngleX: 40.98  Get AngleY: 25.14  Get AngleZ: -109.92\r\n'
b'Get AngleX: 42.80  Get AngleY: 25.09  Get AngleZ: -102.37\r\n'
